model,prompt_id,regime,distraction_type,gold_answer,pred_answer,raw_output
qwen7b,qa_243__unbounded__clean,unbounded,clean,robot vacuum,the robot vacuum,"{""answer"": ""the robot vacuum""}"
qwen7b,qa_243__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,robot vacuum,the robot vacuum,"{""answer"": ""the robot vacuum""}"
qwen7b,qa_243__unbounded__irrelevant_suffix,unbounded,irrelevant_suffix,robot vacuum,the robot vacuum,"{""answer"": ""the robot vacuum""}"
qwen7b,qa_243__unbounded__instruction_in_the_middle,unbounded,instruction_in_the_middle,robot vacuum,the robot vacuum,"{""answer"": ""the robot vacuum""}"
qwen7b,qa_243__unbounded__conflicting_instruction,unbounded,conflicting_instruction,robot vacuum,the robot vacuum,"{""answer"": ""the robot vacuum""}"
qwen7b,qa_243__unbounded__negation_distraction,unbounded,negation_distraction,robot vacuum,the robot vacuum,"{""answer"": ""the robot vacuum""}"
qwen7b,qa_243__unbounded__length_stress,unbounded,length_stress,robot vacuum,the robot vacuum,"{""answer"": ""the robot vacuum""}"
qwen7b,qa_244__bounded__irrelevant_prefix,bounded,irrelevant_prefix,budget phone,the budget phone,"{""answer"": ""the budget phone""}"
qwen7b,qa_244__bounded__length_stress,bounded,length_stress,budget phone,the budget phone,"{""answer"": ""the budget phone""}"
qwen7b,qa_244__unbounded__clean,unbounded,clean,budget phone,the budget phone,"{""answer"": ""the budget phone""}"
qwen7b,qa_244__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,budget phone,the budget phone,"{""answer"": ""the budget phone""}"
qwen7b,qa_244__unbounded__style_distraction,unbounded,style_distraction,budget phone,the budget phone,"{""answer"": ""the budget phone""}"
qwen7b,qa_244__unbounded__length_stress,unbounded,length_stress,budget phone,the budget phone,"{""answer"": ""the budget phone""}"
qwen7b,qa_245__bounded__clean,bounded,clean,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
qwen7b,qa_245__bounded__irrelevant_prefix,bounded,irrelevant_prefix,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
qwen7b,qa_245__bounded__irrelevant_suffix,bounded,irrelevant_suffix,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
qwen7b,qa_245__bounded__instruction_in_the_middle,bounded,instruction_in_the_middle,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
qwen7b,qa_245__bounded__conflicting_instruction,bounded,conflicting_instruction,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
qwen7b,qa_245__bounded__negation_distraction,bounded,negation_distraction,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
qwen7b,qa_245__bounded__length_stress,bounded,length_stress,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
qwen7b,qa_245__unbounded__clean,unbounded,clean,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
qwen7b,qa_245__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
qwen7b,qa_245__unbounded__irrelevant_suffix,unbounded,irrelevant_suffix,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
qwen7b,qa_245__unbounded__instruction_in_the_middle,unbounded,instruction_in_the_middle,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
qwen7b,qa_245__unbounded__conflicting_instruction,unbounded,conflicting_instruction,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
qwen7b,qa_245__unbounded__negation_distraction,unbounded,negation_distraction,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
qwen7b,qa_245__unbounded__length_stress,unbounded,length_stress,smart speaker,the smart speaker,"{""answer"": ""the smart speaker""}"
qwen7b,qa_246__bounded__clean,bounded,clean,medical software,the medical software,"{""answer"": ""the medical software""}"
qwen7b,qa_246__bounded__irrelevant_prefix,bounded,irrelevant_prefix,medical software,the medical software,"{""answer"": ""the medical software""}"
qwen7b,qa_246__bounded__irrelevant_suffix,bounded,irrelevant_suffix,medical software,the medical software,"{""answer"": ""the medical software""}"
qwen7b,qa_246__bounded__conflicting_instruction,bounded,conflicting_instruction,medical software,the medical software,"{""answer"": ""the medical software""}"
qwen7b,qa_246__bounded__negation_distraction,bounded,negation_distraction,medical software,the medical software,"{""answer"": ""the medical software""}"
qwen7b,qa_246__bounded__length_stress,bounded,length_stress,medical software,the medical software,"{""answer"": ""the medical software""}"
qwen7b,qa_246__unbounded__clean,unbounded,clean,medical software,the medical software,"{""answer"": ""the medical software""}"
qwen7b,qa_246__unbounded__conflicting_instruction,unbounded,conflicting_instruction,medical software,the medical software,"{""answer"": ""the medical software""}"
qwen7b,qa_246__unbounded__negation_distraction,unbounded,negation_distraction,medical software,the medical software,"{""answer"": ""the medical software""}"
qwen7b,qa_246__unbounded__length_stress,unbounded,length_stress,medical software,the medical software,"{""answer"": ""the medical software""}"
qwen7b,qa_247__bounded__clean,bounded,clean,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
qwen7b,qa_247__bounded__irrelevant_prefix,bounded,irrelevant_prefix,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
qwen7b,qa_247__bounded__irrelevant_suffix,bounded,irrelevant_suffix,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
qwen7b,qa_247__bounded__negation_distraction,bounded,negation_distraction,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
qwen7b,qa_247__bounded__length_stress,bounded,length_stress,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
qwen7b,qa_247__unbounded__clean,unbounded,clean,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
qwen7b,qa_247__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
qwen7b,qa_247__unbounded__irrelevant_suffix,unbounded,irrelevant_suffix,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
qwen7b,qa_247__unbounded__negation_distraction,unbounded,negation_distraction,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
qwen7b,qa_247__unbounded__length_stress,unbounded,length_stress,solar battery,the solar battery,"{""answer"": ""the solar battery""}"
qwen7b,qa_248__bounded__clean,bounded,clean,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
qwen7b,qa_248__bounded__irrelevant_prefix,bounded,irrelevant_prefix,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
qwen7b,qa_248__bounded__irrelevant_suffix,bounded,irrelevant_suffix,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
qwen7b,qa_248__bounded__conflicting_instruction,bounded,conflicting_instruction,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
qwen7b,qa_248__bounded__length_stress,bounded,length_stress,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
qwen7b,qa_248__unbounded__clean,unbounded,clean,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
qwen7b,qa_248__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
qwen7b,qa_248__unbounded__conflicting_instruction,unbounded,conflicting_instruction,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
qwen7b,qa_248__unbounded__length_stress,unbounded,length_stress,fitness watch,the fitness watch,"{""answer"": ""the fitness watch""}"
qwen7b,qa_249__bounded__clean,bounded,clean,security platform,the security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_249__bounded__irrelevant_prefix,bounded,irrelevant_prefix,security platform,the security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_249__bounded__irrelevant_suffix,bounded,irrelevant_suffix,security platform,the security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_249__bounded__instruction_in_the_middle,bounded,instruction_in_the_middle,security platform,the security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_249__bounded__conflicting_instruction,bounded,conflicting_instruction,security platform,the security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_249__bounded__negation_distraction,bounded,negation_distraction,security platform,the security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_249__bounded__style_distraction,bounded,style_distraction,security platform,the security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_249__bounded__length_stress,bounded,length_stress,security platform,the security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_249__unbounded__clean,unbounded,clean,security platform,the security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_249__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,security platform,the security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_249__unbounded__irrelevant_suffix,unbounded,irrelevant_suffix,security platform,the security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_249__unbounded__conflicting_instruction,unbounded,conflicting_instruction,security platform,the security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_249__unbounded__negation_distraction,unbounded,negation_distraction,security platform,the security platform,"{""answer"": ""the security platform""}"
qwen7b,qa_249__unbounded__length_stress,unbounded,length_stress,security platform,the security platform,"{""answer"": ""the security platform""}"
qwen14b,qa_238__bounded__clean,bounded,clean,medical software,the medical software,"{""answer"": ""the medical software""}"
qwen14b,qa_238__bounded__irrelevant_prefix,bounded,irrelevant_prefix,medical software,the medical software,"{""answer"": ""the medical software""}"
qwen14b,qa_238__bounded__irrelevant_suffix,bounded,irrelevant_suffix,medical software,the medical software,"{""answer"": ""the medical software""}"
qwen14b,qa_238__bounded__instruction_in_the_middle,bounded,instruction_in_the_middle,medical software,the medical software,"{""answer"": ""the medical software""}"
qwen14b,qa_238__bounded__conflicting_instruction,bounded,conflicting_instruction,medical software,the medical software,"{""answer"": ""the medical software""}"
qwen14b,qa_238__bounded__style_distraction,bounded,style_distraction,medical software,the medical software,"{""answer"": ""the medical software""}"
qwen14b,qa_238__bounded__length_stress,bounded,length_stress,medical software,the medical software,"{""answer"": ""the medical software""}"
qwen14b,qa_238__unbounded__clean,unbounded,clean,medical software,the medical software,"{""answer"": ""the medical software""}"
qwen14b,qa_238__unbounded__irrelevant_prefix,unbounded,irrelevant_prefix,medical software,the medical software,"{""answer"": ""the medical software""}"
