model,prompt_id,regime,distraction_type,distraction_subtype,qa_failure_category,gold_short,pred_short,qa_gold_normalized,qa_pred_normalized,raw_output_short
qwen14b,qa_200__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_task_substitution,span_inflation_contains_gold,BlueRiver Health,BlueRiver Health will roll out the medical software on 2025-10-03 after testing in Vienna.,blueriver health,blueriver health will roll out the medical software on 2025 10 03 after testing in vienna,"{""answer"": ""BlueRiver Health will roll out the medical software on 2025-10-03 after testing in Vienna.""}"
qwen14b,qa_225__unbounded__style_distraction,unbounded,style_distraction,pirate_persona,span_inflation_contains_gold,Lisbon,"Avast, me hearty! Ye be arrivin' in Lisbon, if ye catch my drift! Arrr, what a fine port that be!",lisbon,avast me hearty ye be arrivin in lisbon if ye catch my drift arrr what a fine port that be,"{""answer"": ""Avast, me hearty! Ye be arrivin' in Lisbon, if ye catch my drift! Arrr, what a fine port that be!""}"
qwen14b,qa_226__unbounded__style_distraction,unbounded,style_distraction,elizabethan,span_inflation_contains_gold,Alice Smith,"Alice Smith, whose anticipated visit was marked for the distant date of 2026-01-21, did indeed grace the terrestrial bounds of Athens on the morn of 2024-09-05, thus confirming her presence in the ancient city.",alice smith,alice smith whose anticipated visit was marked for the distant date of 2026 01 21 did indeed grace the terrestrial bounds of athens on the morn of 2024 09 05 thus confirming her presence in the ancient city,"{""answer"": ""Alice Smith, whose anticipated visit was marked for the distant date of 2026-01-21, did indeed grace the terrestrial bounds of Athens on the morn of 2024-09-05, thus confirming her presence in the ancient city.""}"
qwen14b,qa_237__bounded__style_distraction,bounded,style_distraction,marketing_voice,span_inflation_contains_gold,Alice Smith,"Alice Smith announced with confidence that the meeting in Prague would commence on February 14, 2025, setting a clear and definitive date for all attendees to mark their calendars.",alice smith,alice smith announced with confidence that the meeting in prague would commence on february 14 2025 setting a clear and definitive date for all attendees to mark their calendars,"{""answer"": ""Alice Smith announced with confidence that the meeting in Prague would commence on February 14, 2025, setting a clear and definitive date for all attendees to mark their calendars.""}"
qwen14b,qa_229__unbounded__style_distraction,unbounded,style_distraction,motivational,span_inflation_contains_gold,Alice Smith,Alice Smith had the confirmed arrival in Prague.,alice smith,alice smith had the confirmed arrival in prague,"{""answer"": ""Alice Smith had the confirmed arrival in Prague.""}"
qwen14b,qa_228__bounded__style_distraction,bounded,style_distraction,social_post,span_inflation_contains_gold,Alice Smith,Alice Smith had the confirmed arrival in Milan.,alice smith,alice smith had the confirmed arrival in milan,"{""answer"": ""Alice Smith had the confirmed arrival in Milan.""}"
qwen14b,qa_214__bounded__style_distraction,bounded,style_distraction,legalistic,span_inflation_contains_gold,Paris,the session would be held in Paris on 2025-04-30.,paris,session would be held in paris on 2025 04 30,"{""answer"": ""the session would be held in Paris on 2025-04-30.""}"
qwen14b,qa_208__bounded__conflicting_instruction,bounded,conflicting_instruction,late_override_note,wrong_span,Urban Sports Media,DONE,urban sports media,done,"{""answer"": ""DONE""}"
qwen14b,qa_237__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_task_substitution,wrong_span,Alice Smith,Meeting Schedule and Venue,alice smith,meeting schedule and venue,"{""answer"": ""Meeting Schedule and Venue""}"
qwen14b,qa_249__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_task_substitution,wrong_span,security platform,Healthcare and Technology,security platform,healthcare and technology,"{""answer"": ""Healthcare and Technology""}"
qwen7b,qa_248__unbounded__instruction_in_the_middle,unbounded,instruction_in_the_middle,middle_burial,empty_answer,fitness watch,,fitness watch,,"{""answer"": """"}"
qwen7b,qa_236__bounded__instruction_in_the_middle,bounded,instruction_in_the_middle,middle_burial,empty_answer,Alice Smith,,alice smith,,"{""answer"": """"}"
qwen7b,qa_233__unbounded__instruction_in_the_middle,unbounded,instruction_in_the_middle,middle_burial,empty_answer,Alice Smith,,alice smith,,"{""answer"": """"}"
qwen7b,qa_241__bounded__length_stress,bounded,length_stress,report_fragment,empty_answer,security platform,,security platform,,"{""answer"": """"}"
qwen7b,qa_231__unbounded__instruction_in_the_middle,unbounded,instruction_in_the_middle,middle_burial,empty_answer,Alice Smith,,alice smith,,"{""answer"": """"}"
qwen7b,qa_232__bounded__instruction_in_the_middle,bounded,instruction_in_the_middle,middle_burial,empty_answer,Alice Smith,,alice smith,,"{""answer"": """"}"
qwen7b,qa_241__bounded__instruction_in_the_middle,bounded,instruction_in_the_middle,middle_burial,empty_answer,security platform,,security platform,,"{""answer"": """"}"
qwen7b,qa_201__bounded__length_stress,bounded,length_stress,academic_prose_long,empty_answer,BlueRiver Health,,blueriver health,,"{""answer"": """"}"
qwen7b,qa_248__bounded__instruction_in_the_middle,bounded,instruction_in_the_middle,middle_burial,empty_answer,fitness watch,,fitness watch,,"{""answer"": """"}"
qwen7b,qa_234__bounded__instruction_in_the_middle,bounded,instruction_in_the_middle,middle_burial,empty_answer,Alice Smith,,alice smith,,"{""answer"": """"}"
qwen7b,qa_226__bounded__style_distraction,bounded,style_distraction,elizabethan,invalid_json_or_extra_text,Alice Smith,,alice smith,,"{""answer"": ""Alice Smith, fair maiden of yore, whose presence was anticipated with bated breath upon the date of 2026-01-21, did indeed grace the hallowed grounds of Athens with her confirmed arrival, albeit not as initially foretold, but rather upon the day"
qwen7b,qa_240__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_output_mode,invalid_json_or_extra_text,fitness watch,,fitness watch,,"{""answer"": ""fitness watch""}\n\nThe passage states that Summit Retail Systems officially introduced the fitness watch on a specific date, so the correct answer is ""fitness watch""."
qwen7b,qa_216__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_output_mode,invalid_json_or_extra_text,Prague,,prague,,"{""answer"": ""Prague""}\n\nThe passage clearly states that the final note indicates the session would be held in Prague on 2024-01-15."
qwen7b,qa_240__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_output_mode,invalid_json_or_extra_text,fitness watch,,fitness watch,,"{""answer"": ""fitness watch""}\nReasoning: The passage states that ""Summit Retail Systems officially introduced the fitness watch on 2025-04-30 after the press session in Milan."""
qwen7b,qa_211__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_json_request,schema_violation,Urban Sports Media,,urban sports media,,"[""Urban Sports Media""]"
qwen7b,qa_235__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_json_request,schema_violation,Alice Smith,,alice smith,,"[""Alice Smith""]"
qwen7b,qa_202__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_format_override,schema_violation,BlueRiver Health,,blueriver health,,"{""status"": ""success"", ""content"": ""BlueRiver Health""}"
qwen7b,qa_247__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_json_request,schema_violation,solar battery,,solar battery,,"[""solar battery""]"
qwen7b,qa_223__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_json_request,schema_violation,Berlin,,berlin,,"[""Berlin""]"
qwen7b,qa_226__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_format_override,schema_violation,Alice Smith,,alice smith,,"{""status"":""success"",""content"":""Alice Smith""}"
qwen7b,qa_223__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_json_request,schema_violation,Berlin,,berlin,,"[""Berlin""]"
qwen7b,qa_247__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_json_request,schema_violation,solar battery,,solar battery,,"[""solar battery""]"
qwen7b,qa_246__bounded__instruction_in_the_middle,bounded,instruction_in_the_middle,middle_burial,span_inflation_contains_gold,medical software,BlueRiver Health released the medical software,medical software,blueriver health released the medical software,"{""answer"": ""BlueRiver Health released the medical software""}"
qwen7b,qa_200__bounded__conflicting_instruction,bounded,conflicting_instruction,conflicting_task_substitution,span_inflation_contains_gold,BlueRiver Health,BlueRiver Health will roll out the medical software on 2025-10-03.,blueriver health,blueriver health will roll out the medical software on 2025 10 03,"{""answer"": ""BlueRiver Health will roll out the medical software on 2025-10-03.""}"
qwen7b,qa_212__bounded__style_distraction,bounded,style_distraction,helpdesk_friendly,span_inflation_contains_gold,Urban Sports Media,Urban Sports Media hosted a workshop in Lisbon on 2024-03-21.,urban sports media,urban sports media hosted a workshop in lisbon on 2024 03 21,"{""answer"": ""Urban Sports Media hosted a workshop in Lisbon on 2024-03-21.""}"
qwen7b,qa_209__unbounded__style_distraction,unbounded,style_distraction,motivational,span_inflation_contains_gold,Urban Sports Media,Urban Sports Media powered the gathering in Madrid!,urban sports media,urban sports media powered the gathering in madrid,"{""answer"": ""Urban Sports Media powered the gathering in Madrid!""}"
qwen7b,qa_205__unbounded__conflicting_instruction,unbounded,conflicting_instruction,conflicting_output_mode,span_inflation_contains_gold,BlueRiver Health,BlueRiver Health will roll out the robot vacuum on 2024-01-15,blueriver health,blueriver health will roll out the robot vacuum on 2024 01 15,"{""answer"": ""BlueRiver Health will roll out the robot vacuum on 2024-01-15""}"
qwen7b,qa_241__bounded__style_distraction,bounded,style_distraction,dramatic_narrative,span_inflation_contains_gold,security platform,Summit Retail Systems officially introduced the security platform on 2024-03-21 after the press session in Prague.,security platform,summit retail systems officially introduced the security platform on 2024 03 21 after the press session in prague,"{""answer"": ""Summit Retail Systems officially introduced the security platform on 2024-03-21 after the press session in Prague.""}"
qwen7b,qa_204__unbounded__style_distraction,unbounded,style_distraction,legalistic,span_inflation_contains_gold,BlueRiver Health,BlueRiver Health will roll out the analytics dashboard on 2025-02-14 after testing in Berlin.,blueriver health,blueriver health will roll out the analytics dashboard on 2025 02 14 after testing in berlin,"{""answer"": ""BlueRiver Health will roll out the analytics dashboard on 2025-02-14 after testing in Berlin.""}"
qwen7b,qa_207__unbounded__style_distraction,unbounded,style_distraction,marketing_voice,span_inflation_contains_gold,BlueRiver Health,"BlueRiver Health is set to make a groundbreaking rollout of the smart speaker on 2025-04-30, following successful testing in Madrid.",blueriver health,blueriver health is set to make a groundbreaking rollout of the smart speaker on 2025 04 30 following successful testing in madrid,"{""answer"": ""BlueRiver Health is set to make a groundbreaking rollout of the smart speaker on 2025-04-30, following successful testing in Madrid.""}"
qwen7b,qa_201__unbounded__style_distraction,unbounded,style_distraction,dramatic_narrative,span_inflation_contains_gold,BlueRiver Health,BlueRiver Health will roll out the solar battery on 2024-09-05 after testing in Paris.,blueriver health,blueriver health will roll out the solar battery on 2024 09 05 after testing in paris,"{""answer"": ""BlueRiver Health will roll out the solar battery on 2024-09-05 after testing in Paris.""}"
qwen7b,qa_241__unbounded__style_distraction,unbounded,style_distraction,dramatic_narrative,span_inflation_contains_gold,security platform,"Summit Retail Systems officially introduced the security platform with a grand unveiling, marking a pivotal moment in the tech industry's landscape.",security platform,summit retail systems officially introduced the security platform with a grand unveiling marking a pivotal moment in the tech industry s landscape,"{""answer"": ""Summit Retail Systems officially introduced the security platform with a grand unveiling, marking a pivotal moment in the tech industry's landscape.""}"
qwen7b,qa_208__unbounded__conflicting_instruction,unbounded,conflicting_instruction,late_override_note,wrong_span,Urban Sports Media,DONE,urban sports media,done,"{""answer"": ""DONE""}"
qwen7b,qa_215__unbounded__style_distraction,unbounded,style_distraction,pirate_persona,wrong_span,Milan,"Arrr, matey! Thar she blows, me hearty, it be in Millyan, d'ye hear? Swab the deck and away we go!",milan,arrr matey thar she blows me hearty it be in millyan d ye hear swab the deck and away we go,"{""answer"": ""Arrr, matey! Thar she blows, me hearty, it be in Millyan, d'ye hear? Swab the deck and away we go!""}"
qwen7b,qa_244__bounded__conflicting_instruction,bounded,conflicting_instruction,late_override_note,wrong_span,budget phone,DONE,budget phone,done,"{""answer"": ""DONE""}"
qwen7b,qa_220__unbounded__conflicting_instruction,unbounded,conflicting_instruction,late_override_note,wrong_span,Madrid,DONE,madrid,done,"{""answer"": ""DONE""}"
qwen7b,qa_232__unbounded__conflicting_instruction,unbounded,conflicting_instruction,late_override_note,wrong_span,Alice Smith,DONE,alice smith,done,"{""answer"": ""DONE""}"
qwen7b,qa_232__bounded__conflicting_instruction,bounded,conflicting_instruction,late_override_note,wrong_span,Alice Smith,DONE,alice smith,done,"{""answer"": ""DONE""}"
qwen7b,qa_244__unbounded__conflicting_instruction,unbounded,conflicting_instruction,late_override_note,wrong_span,budget phone,DONE,budget phone,done,"{""answer"": ""DONE""}"
